laufkont moral alter kredit
1 4 21 1
1 4 36 1
2 2 23 1
1 4 39 1
1 4 38 1
1 4 48 1
1 4 39 1
1 4 40 1
4 4 65 1
2 2 23 1
1 4 36 1
1 4 24 1
1 4 31 1
2 3 31 1
1 2 23 1
1 2 44 1
1 4 40 1
2 2 25 1
2 4 36 1
4 4 39 1
1 4 37 1
2 4 49 1
2 2 33 0
2 4 26 1
1 4 44 1
2 3 51 1
1 2 24 1
2 4 37 1
4 2 29 1
3 4 56 1
3 4 47 1
4 4 37 1
4 4 34 1
4 2 28 1
1 2 36 1
1 4 39 1
4 4 38 1
4 4 26 1
4 2 31 1
4 4 41 1
4 4 23 1
1 2 58 1
4 4 36 1
2 4 34 1
2 2 61 1
1 2 23 0
4 2 25 1
4 4 30 0
4 2 33 1
1 4 26 1
4 2 49 1
3 2 23 1
4 4 30 1
4 4 49 1
4 2 41 1
1 4 58 1
4 4 63 1
1 2 27 1
4 2 41 1
4 2 36 1
4 4 44 1
4 2 29 1
4 4 47 1
4 3 45 1
1 3 43 1
4 4 27 1
4 2 52 1
4 2 28 1
2 2 22 1
4 3 60 1
2 4 32 1
4 2 58 1
4 2 39 1
4 2 31 1
3 2 37 1
2 2 24 1
4 4 36 1
4 4 60 1
1 4 30 1
4 2 35 1
4 4 37 1
4 4 51 1
2 2 30 1
3 4 36 1
4 4 63 1
1 2 31 1
4 4 35 1
4 3 34 1
1 4 39 1
2 3 42 1
2 4 27 1
2 2 25 1
2 0 28 1
1 2 59 1
2 4 41 1
4 4 32 1
2 4 23 1
2 3 30 0
1 2 25 1
2 4 41 1
4 4 40 1
1 2 22 1
2 3 34 1
2 3 54 1
4 4 33 1
4 2 31 1
4 4 29 1
4 2 39 1
4 2 38 1
4 4 61 1
1 2 29 0
1 2 49 1
2 4 36 1
4 2 26 1
2 2 35 1
2 2 28 1
2 4 35 1
4 2 28 1
4 4 52 1
4 2 32 1
2 2 30 1
4 4 35 1
2 2 30 1
4 4 43 1
4 2 47 1
4 4 47 1
4 2 24 1
4 2 32 1
4 2 30 1
4 4 36 1
3 2 26 1
4 2 43 1
3 2 41 1
4 2 26 1
4 2 64 1
4 2 33 1
2 2 54 1
1 1 32 1
2 4 39 1
3 4 31 1
4 2 45 1
4 2 64 1
2 2 42 1
4 4 31 1
4 2 25 1
4 2 46 1
1 2 49 1
1 2 49 1
4 2 36 1
2 4 48 1
3 1 42 1
4 2 29 1
4 4 35 1
2 2 38 1
2 2 26 1
4 4 35 1
1 2 23 1
4 4 38 1
2 1 59 0
2 4 28 1
4 4 35 1
3 4 36 1
4 2 25 1
4 4 28 1
3 2 23 1
4 4 48 1
4 4 25 1
4 4 74 1
4 4 24 1
4 4 28 1
3 2 24 1
1 2 24 0
3 2 23 1
4 2 32 1
4 2 31 1
4 2 36 1
4 4 27 1
2 4 44 1
4 2 34 1
4 3 37 1
4 2 23 1
4 4 30 1
1 0 25 1
4 4 33 1
4 2 27 1
4 2 31 1
4 2 50 1
4 2 31 1
2 2 32 1
3 2 28 1
4 2 29 1
2 2 27 1
2 2 24 1
4 2 54 1
4 2 25 1
4 4 35 1
4 4 45 1
4 4 28 1
4 2 35 1
4 1 27 1
4 2 30 1
4 1 40 1
3 1 49 1
1 2 30 1
1 2 24 1
2 2 33 1
1 2 20 1
2 2 23 1
2 1 36 1
4 2 35 1
3 2 29 1
1 1 22 1
1 1 22 1
3 4 74 1
2 2 35 1
3 2 37 1
4 2 31 1
3 2 27 1
1 2 35 1
4 2 45 1
1 1 36 1
3 4 49 1
4 3 35 1
4 3 27 1
1 2 28 1
4 4 43 1
1 2 35 1
4 3 27 1
4 2 36 1
2 1 30 1
4 2 36 1
4 0 39 1
4 2 45 1
1 2 40 1
2 2 25 0
1 2 55 1
4 2 50 1
1 2 64 1
4 2 23 1
4 2 24 1
4 4 47 1
4 2 42 1
4 2 24 1
4 4 32 1
4 1 45 1
4 2 23 1
4 4 24 1
4 3 35 1
2 2 25 1
4 2 26 1
2 3 43 1
2 3 44 1
4 2 38 1
4 2 28 1
4 4 38 1
3 2 26 1
1 3 27 1
4 4 23 1
1 2 52 1
4 2 74 1
4 2 27 1
4 4 35 1
3 2 23 1
4 2 20 1
4 2 34 1
4 2 40 1
2 2 37 1
4 2 36 1
4 4 22 1
4 1 34 1
4 2 50 1
4 3 40 1
4 2 23 1
4 2 53 1
4 2 35 1
4 1 35 1
4 2 54 1
2 4 27 1
1 2 28 1
3 2 49 1
3 3 29 1
3 2 46 1
4 2 20 1
2 3 47 1
1 2 29 1
4 2 54 1
1 4 52 1
4 2 32 1
4 2 51 1
4 3 33 1
4 4 37 1
4 2 20 1
4 4 34 1
2 3 31 1
4 3 30 1
4 2 30 1
4 2 22 1
4 3 34 1
2 2 19 1
4 3 34 1
1 1 45 1
3 2 25 1
3 2 26 1
4 4 33 1
3 2 28 0
4 2 41 1
1 2 36 1
4 1 26 1
1 2 28 1
4 0 39 1
4 4 65 1
4 4 38 1
4 4 41 1
2 2 26 1
1 2 41 1
4 2 45 1
4 1 40 1
3 2 24 1
4 4 31 1
4 0 35 1
4 2 40 1
4 2 28 1
4 2 28 1
1 4 27 1
4 2 31 1
4 4 37 1
4 2 35 1
3 4 46 1
4 2 32 1
4 4 33 1
4 4 33 1
4 4 26 1
4 4 24 1
4 2 25 1
4 3 54 1
1 2 24 1
1 4 48 1
1 4 49 1
4 2 32 1
4 2 55 1
4 4 40 1
1 1 22 1
4 4 38 1
4 2 26 1
4 4 51 1
4 2 38 1
4 2 46 1
3 4 63 1
1 4 30 1
4 4 32 1
4 4 26 1
4 2 34 1
4 4 46 1
1 4 29 0
4 2 42 1
4 4 42 1
1 2 63 1
4 4 32 1
3 2 23 1
4 4 59 1
4 4 61 1
1 2 22 1
4 4 27 1
4 2 26 1
4 2 37 1
4 0 34 1
3 2 57 1
2 0 31 1
1 2 28 1
1 2 24 1
1 2 21 1
4 4 34 1
2 4 29 1
1 2 27 1
4 3 34 1
1 2 27 1
1 0 28 0
2 3 30 1
2 2 22 1
4 4 36 1
1 2 22 1
1 2 26 1
4 4 63 1
2 2 22 1
4 4 36 1
2 2 24 1
2 2 30 0
4 2 43 1
3 2 37 1
1 2 26 1
4 2 33 1
3 4 66 1
3 4 50 1
4 4 35 1
4 2 25 1
2 2 25 1
2 3 33 1
4 2 30 1
4 3 41 1
